Слово,Транскрипция
вкраиваться,ˈfkraɪvət͡sə
вкрапина,ˈfkrapʲɪnə
вкрапить,ˈfkrapʲɪtʲ
вкрапиться,ˈfkrapʲɪt͡sə
вкрапление,fkrɐˈplʲenʲɪɪ̯ə
вкрапленник,ˈfkraplʲɪnʲ(ː)ɪk
вкрапленность,ˈfkraplʲɪn(ː)əsʲtʲ
вкрапленный,ˈfkraplʲɪn(ː)ɨɪ̯
вкрапливание,ˈfkraplʲɪvənʲɪɪ̯ə
вкрапливать,ˈfkraplʲɪvətʲ
вкрапливаться,ˈfkraplʲɪvət͡sə
вкраплять,fkrɐˈplʲætʲ
вкрапляться,fkrɐˈplʲat͡sːə
вкрасться,ˈfkrast͡sə
вкратце,ˈfkrat͡sːɨ
вкрепить,fkrʲɪˈpʲitʲ
вкрепиться,fkrʲɪˈpʲit͡sːə
вкреплять,fkrʲɪˈplʲætʲ
вкрепляться,fkrʲɪˈplʲat͡sːə
вкривь,fkrʲifʲ
вкривь,fkrʲifʲ
вкроенный,ˈfkro(ɪ̯)ɪn(ː)ɨɪ̯
вкроить,fkrɐˈitʲ
вкроиться,fkrɐˈit͡sːə
вкруг,fkruk
вкруговую,fkrʊɡɐˈvuɪ̯ʊ
вкрутить,fkrʊˈtʲitʲ
вкрутиться,fkrʊˈtʲit͡sːə
вкрутую,fkrʊˈtuɪ̯ʊ
вкрученный,ˈfkrut͡ɕɪn(ː)ɨɪ̯
вкручивание,ˈfkrut͡ɕɪvənʲɪɪ̯ə
вкручивать,ˈfkrut͡ɕɪvətʲ
вкручиваться,ˈfkrut͡ɕɪvət͡sə
вкупе,ˈfkupʲɪ
вкуриваться,ˈfkurʲɪvət͡sə
вкуриться,fkʊˈrʲit͡sːə
вкус,fkus
вкусить,fkʊˈsʲitʲ
вкуснейший,fkʊˈsʲnʲeɪ̯ʂɨɪ̯
вкусненький,ˈfkusʲnʲɪnʲkʲɪɪ̯
вкусно,ˈfkusnə
вкусности,ˈfkusnəsʲtʲ
вкусность,ˈfkusnəsʲtʲ
вкуснота,fkʊsnɐˈta
вкуснотища,fkʊsnɐˈtʲiɕːə
вкусный,ˈfkusnɨɪ̯
вкуснятина,fkʊˈsʲnʲætʲɪnə
вкусовой,fkʊsɐˈvoɪ̯
вкусовщина,fkʊsɐfˈɕːinə
вкушать,fkʊˈʂatʲ
вкушаться,fkʊˈʂat͡sːə
вкушение,fkʊˈʂɛnʲɪɪ̯ə
вкушённый,fkʊˈʂonːɨɪ̯
влага,ˈvɫaɡə
влагалище,vɫɐˈɡalʲɪɕːɪ
влагалищнолистный,vɫɐˌɡalʲɪɕːnɐˈlʲistnɨɪ̯
влагалищный,vɫɐˈɡalʲɪɕːnɨɪ̯
влагать,vɫɐˈɡatʲ
влагаться,vɫɐˈɡat͡sːə
влаговоздухонепроницаемый,ˌvɫaɡɐˌvozdʊxənʲɪprənʲɪˈt͡sa(ɪ̯)ɪmɨɪ̯
влагозарядка,ˌvɫaɡəzɐˈrʲatkə
влагозарядковый,ˌvɫaɡəzɐˈrʲatkəvɨɪ̯
влагозащита,ˌvɫaɡəzɐˈɕːitə
влагозащитный,ˌvɫaɡəzɐˈɕːitnɨɪ̯
влагозащищённый,ˌvɫaɡəzəɕːɪˈɕːɵnːɨɪ̯
влагоизоляция,ˌvɫaɡəɪzɐˈlʲat͡sɨɪ̯ə
влаголюбивый,ˌvɫaɡəlʲʉˈbʲivɨɪ̯
влагомер,vɫəɡɐˈmʲer
влагонакопительный,ˌvɫaɡənəkɐˈpʲitʲɪlʲnɨɪ̯
влагонакопление,ˌvɫaɡənəkɐˈplʲenʲɪɪ̯ə
влагонепроницаемый,ˌvɫaɡənʲɪprənʲɪˈt͡sa(ɪ̯)ɪmɨɪ̯
влагообеспеченность,ˌvɫaɡɐɐbʲɪˈspʲet͡ɕɪn(ː)əsʲtʲ
влагообеспеченный,ˌvɫaɡɐɐbʲɪˈspʲet͡ɕɪn(ː)ɨɪ̯
влагоотдача,ˌvɫaɡɐɐˈdːat͡ɕə
влагоотталкивающий,vɫəɡɐɐˈtaɫkʲɪvəjʉɕːɪɪ̯
влагопоглотитель,vɫəɡəpəɡɫɐˈtʲitʲɪlʲ
влагосниматель,ˌvɫaɡəsʲnʲɪˈmatʲɪlʲ
влагосодержание,vɫəɡəsədʲɪrˈʐanʲɪɪ̯ə
влагостойкий,ˌvɫaɡɐˈstoɪ̯kʲɪɪ̯
влагостойкость,ˌvɫaɡɐˈstoɪ̯kəsʲtʲ
влагоёмкий,ˌvɫaɡɐˈjɵmkʲɪɪ̯
владать,vɫɐˈdatʲ
владелец,vɫɐˈdʲelʲɪt͡s
владелец-водитель,vɫɐˈdʲelʲɪt͡s vɐˈdʲitʲɪlʲ
владелец-распорядитель,vɫɐˈdʲelʲɪt͡s rəspərʲɪˈdʲitʲɪlʲ
владелица,vɫɐˈdʲelʲɪt͡sə
владельческий,vɫɐˈdʲelʲt͡ɕɪskʲɪɪ̯
владение,vɫɐˈdʲenʲɪɪ̯ə
владетель,vɫɐˈdʲetʲɪlʲ
владетельница,vɫɐˈdʲetʲɪlʲnʲɪt͡sə
владетельный,vɫɐˈdʲetʲɪlʲnɨɪ̯
владеть,vɫɐˈdʲetʲ
владеющий,vɫɐˈdʲejʉɕːɪɪ̯
владивостокец,vɫədʲɪvɐˈstokʲɪt͡s
владивостоковец,vɫədʲɪvɐˈstokəvʲɪt͡s
владивостокский,vɫədʲɪvɐˈstokskʲɪɪ̯
владивостокцы,vɫədʲɪvɐˈstokʲɪt͡s
владикавказец,vɫədʲɪkɐˈfkazʲɪt͡s
владикавказский,vɫədʲɪkɐˈfkasːkʲɪɪ̯
владикавказцы,vɫədʲɪkɐˈfkazʲɪt͡s
владимирец,vɫɐˈdʲimʲɪrʲɪt͡s
владимирка,vɫɐˈdʲimʲɪrkə
владимировец,vɫɐˈdʲimʲɪrəvʲɪt͡s
владимирский,vɫɐˈdʲimʲɪrskʲɪɪ̯
владимирцы,vɫɐˈdʲimʲɪrʲɪt͡s
владыка,vɫɐˈdɨkə
владычество,vɫɐˈdɨt͡ɕɪstvə
владычествовать,vɫɐˈdɨt͡ɕɪstvəvətʲ
владычица,vɫɐˈdɨt͡ɕɪt͡sə
владычный,vɫɐˈdɨt͡ɕnɨɪ̯
влажнеть,vɫɐˈʐnʲetʲ
влажно,ˈvɫaʐnə
влажноадиабатический,ˌvɫaʐnɐɐdʲɪəbɐˈtʲit͡ɕɪskʲɪɪ̯
влажноватый,vɫəʐnɐˈvatɨɪ̯
влажность,ˈvɫaʐnəsʲtʲ
влажный,ˈvɫaʐnɨɪ̯
влажный,ˈvɫaʐnɨɪ̯
вламываться,ˈvɫamɨvət͡sə
влас,vɫas
власовец,ˈvɫasəvʲɪt͡s
власовский,ˈvɫasəfskʲɪɪ̯
власоглав,vɫəsɐˈɡɫaf
властвование,ˈvɫastvəvənʲɪɪ̯ə
властвовать,ˈvɫastvəvətʲ
властелин,vɫəsʲtʲɪˈlʲin
власти,ˈvɫasʲtʲɪ
властитель,vɫɐˈsʲtʲitʲɪlʲ
властительница,vɫɐˈsʲtʲitʲɪlʲnʲɪt͡sə
властительный,vɫɐˈsʲtʲitʲɪlʲnɨɪ̯
властительский,vɫɐˈsʲtʲitʲɪlʲskʲɪɪ̯
властно,ˈvɫasnə
властность,ˈvɫasnəsʲtʲ
властный,ˈvɫasnɨɪ̯
властолюбец,vɫəstɐˈlʲʉbʲɪt͡s
властолюбиво,vɫəstəlʲʉˈbʲivə
властолюбивый,vɫəstəlʲʉˈbʲivɨɪ̯
властолюбие,vɫəstɐˈlʲʉbʲɪɪ̯ə
власть,vɫasʲtʲ
власть,vɫasʲtʲ
власяница,vɫəsʲɪˈnʲit͡sə
власяной,vɫəsʲɪˈnoɪ̯
влачить,vɫɐˈt͡ɕitʲ
влачиться,vɫɐˈt͡ɕit͡sːə
влево,ˈvlʲevə
влегать,vlʲɪˈɡatʲ
влезание,vlʲɪˈzanʲɪɪ̯ə
влезать,vlʲɪˈzatʲ
влезть,vlʲesʲtʲ
влезший,ˈvlʲeʂːɨɪ̯
влекомый,vlʲɪˈkomɨɪ̯
влекущий,vlʲɪˈkuɕːɪɪ̯
влекущийся,vlʲɪˈkuɕːɪɪ̯sʲə
влепить,vlʲɪˈpʲitʲ
влепиться,vlʲɪˈpʲit͡sːə
влепленный,ˈvlʲeplʲɪn(ː)ɨɪ̯
влеплять,vlʲɪˈplʲætʲ
влепляться,vlʲɪˈplʲat͡sːə
влетание,vlʲɪˈtanʲɪɪ̯ə
влетать,vlʲɪˈtatʲ
влететь,vlʲɪˈtʲetʲ
влечение,vlʲɪˈt͡ɕenʲɪɪ̯ə
влечь,vlʲet͡ɕ
влечься,ˈvlʲet͡ɕsʲə
вливание,vlʲɪˈvanʲɪɪ̯ə
вливать,vlʲɪˈvatʲ
вливаться,vlʲɪˈvat͡sːə
влипать,vlʲɪˈpatʲ
влипший,ˈvlʲipʂɨɪ̯
влитие,ˈvlʲitʲɪɪ̯ə
влитой,vlʲɪˈtoɪ̯
влитый,ˈvlʲitɨɪ̯
влить,vlʲitʲ
влиться,ˈvlʲit͡sːə
влияние,vlʲɪˈjænʲɪɪ̯ə
влиятельность,vlʲɪˈjætʲɪlʲnəsʲtʲ
влиятельный,vlʲɪˈjætʲɪlʲnɨɪ̯
влиять,vlʲɪˈjætʲ
вложение,vɫɐˈʐɛnʲɪɪ̯ə
вложенность,ˈvɫoʐɨn(ː)əsʲtʲ
вложенный,ˈvɫoʐɨn(ː)ɨɪ̯
вложить,vɫɐˈʐɨtʲ
вложиться,vɫɐˈʐɨt͡sːə
вломить,vɫɐˈmʲitʲ
вломиться,vɫɐˈmʲit͡sːə
влопаться,ˈvɫopət͡sə
влопываться,ˈvɫopɨvət͡sə
влюбить,vlʲʉˈbʲitʲ
влюбиться,vlʲʉˈbʲit͡sːə
влюбление,vlʲʊˈblʲenʲɪɪ̯ə
влюбленно,vlʲʊˈblʲɵnːə
влюбленность,vlʲʊˈblʲɵnːəsʲtʲ
влюбленный,vlʲʊˈblʲɵnːɨɪ̯
влюблять,vlʲʊˈblʲætʲ
влюбляться,vlʲʊˈblʲat͡sːə
влюблённо,vlʲʊˈblʲɵnːə
влюблённость,vlʲʊˈblʲɵnːəsʲtʲ
влюблённый,vlʲʊˈblʲɵnːɨɪ̯
влюбчивость,ˈvlʲupt͡ɕɪvəsʲtʲ
влюбчивый,ˈvlʲupt͡ɕɪvɨɪ̯
вляпанный,ˈvlʲapən(ː)ɨɪ̯
вляпать,ˈvlʲapətʲ
вляпаться,ˈvlʲapət͡sə
вляпываться,ˈvlʲapɨvət͡sə
влёкший,ˈvlʲɵkʂɨɪ̯
влёкшийся,ˈvlʲɵkʂɨɪ̯sʲə
влёрец,ˈvlʲɵrʲɪt͡s
влёт,vlʲɵt
вмазанный,ˈvmazən(ː)ɨɪ̯
вмазать,ˈvmazətʲ
вмазаться,ˈvmazət͡sə
вмазка,ˈvmaskə
вмазывание,ˈvmazɨvənʲɪɪ̯ə
вмазываться,ˈvmazɨvət͡sə
вмале,ˈvmalʲɪ
вмастить,vmɐˈsʲtʲitʲ
вматывать,ˈvmatɨvətʲ
вматываться,ˈvmatɨvət͡sə
вменение,vmʲɪˈnʲenʲɪɪ̯ə
вменить,vmʲɪˈnʲitʲ
вмениться,vmʲɪˈnʲit͡sːə
вменяемость,vmʲɪˈnʲæ(ɪ̯)ɪməsʲtʲ
вменяемый,vmʲɪˈnʲæ(ɪ̯)ɪmɨɪ̯
вменять,vmʲɪˈnʲætʲ
вменяться,vmʲɪˈnʲat͡sːə
вменённый,vmʲɪˈnʲɵnːɨɪ̯
вмерзать,vmʲɪrˈzatʲ
вмерзнуть,ˈvmʲɵrznʊtʲ
вмертвую,ˈvmʲɵrtvʊɪ̯ʊ
вмесить,vmʲɪˈsʲitʲ
вмеситься,vmʲɪˈsʲit͡sːə
вместе,ˈvmʲesʲtʲɪ
вмести,vmʲɪˈsʲtʲi
вместилище,vmʲɪˈsʲtʲilʲɪɕːɪ
вместимость,vmʲɪˈsʲtʲiməsʲtʲ
вместительность,vmʲɪˈsʲtʲitʲɪlʲnəsʲtʲ
вместительный,vmʲɪˈsʲtʲitʲɪlʲnɨɪ̯
вместить,vmʲɪˈsʲtʲitʲ
вместиться,vmʲɪˈsʲtʲit͡sːə
вместо,ˈvmʲestə
вметать,vmʲɪˈtatʲ
вметаться,vmʲɪˈtat͡sːə
вметнуть,vmʲɪtˈnutʲ
вметнуться,vmʲɪtˈnut͡sːə
вметённый,vmʲɪˈtʲɵnːɨɪ̯
вмешанный,ˈvmʲeʂən(ː)ɨɪ̯
вмешательство,vmʲɪˈʂatʲɪlʲstvə
вмешать,vmʲɪˈʂatʲ
вмешаться,vmʲɪˈʂat͡sːə
вмешенный,ˈvmʲeʂɨn(ː)ɨɪ̯
вмешивание,ˈvmʲeʂɨvənʲɪɪ̯ə
вмешивать,ˈvmʲeʂɨvətʲ
вмешиваться,ˈvmʲeʂɨvət͡sə
вмещать,vmʲɪˈɕːætʲ
вмещаться,vmʲɪˈɕːat͡sːə
вмещающий,vmʲɪˈɕːæɪ̯ʊɕːɪɪ̯
вмещённый,vmʲɪˈɕːɵnːɨɪ̯
вмиг,vmʲik
вминание,vmʲɪˈnanʲɪɪ̯ə
вминать,vmʲɪˈnatʲ
вминаться,vmʲɪˈnat͡sːə
вмонтированный,vmɐnʲˈtʲirəvən(ː)ɨɪ̯
вмонтировать,vmɐnʲˈtʲirəvətʲ
вмонтироваться,vmɐnʲˈtʲirəvət͡sə
вмораживать,vmɐˈraʐɨvətʲ
вмораживаться,vmɐˈraʐɨvət͡sə
вмороженный,vmɐˈroʐɨn(ː)ɨɪ̯
вморозить,vmɐˈrozʲɪtʲ
вмотанный,ˈvmotən(ː)ɨɪ̯
вмотать,vmɐˈtatʲ
вмотаться,vmɐˈtat͡sːə
вмурованный,vmʊˈrovən(ː)ɨɪ̯
вмуровать,vmʊrɐˈvatʲ
вмуроваться,vmʊrɐˈvat͡sːə
вмуровывать,vmʊˈrovɨvətʲ
вмуровываться,vmʊˈrovɨvət͡sə
вмываться,vmɨˈvat͡sːə
вмятина,ˈvmʲætʲɪnə
вмятинка,ˈvmʲætʲɪnkə
вмятость,ˈvmʲatəsʲtʲ
вмятый,ˈvmʲatɨɪ̯
вмять,vmʲætʲ
вмяться,ˈvmʲat͡sːə
вмёрзнуть,ˈvmʲɵrznʊtʲ
вмёрзший,ˈvmʲɵrʂɨɪ̯
вмёртвую,ˈvmʲɵrtvʊɪ̯ʊ
вмётанный,ˈvmʲɵtən(ː)ɨɪ̯
вмётка,ˈvmʲɵtkə
вмётывание,ˈvmʲɵtɨvənʲɪɪ̯ə
вмётывать,ˈvmʲɵtɨvətʲ
вмётываться,ˈvmʲɵtɨvət͡sə
впавший,ˈfpafʂɨɪ̯
впадать,fpɐˈdatʲ
впадение,fpɐˈdʲenʲɪɪ̯ə
впадина,ˈfpadʲɪnə
впадинка,ˈfpadʲɪnkə
впаивание,ˈfpaɪvənʲɪɪ̯ə
впаивать,ˈfpaɪvətʲ
впаиваться,ˈfpaɪvət͡sə
впайка,ˈfpaɪ̯kə
впалоглазый,fpəɫɐˈɡɫazɨɪ̯
впалогрудый,fpəɫɐˈɡrudɨɪ̯
впалость,ˈfpaɫəsʲtʲ
впалощекий,fpəɫɐˈɕːɵkʲɪɪ̯
впалый,ˈfpaɫɨɪ̯
впаривать,ˈfparʲɪvətʲ
впархивать,ˈfparxʲɪvətʲ
впасть,fpasʲtʲ
впаянный,ˈfpa(ɪ̯)ɪn(ː)ɨɪ̯
впаять,fpɐˈjætʲ
впекаться,f⁽ʲ⁾pʲɪˈkat͡sːə
впервинку,f⁽ʲ⁾pʲɪrˈvʲinkʊ
впервой,f⁽ʲ⁾pʲɪrˈvoɪ̯
впервые,f⁽ʲ⁾pʲɪrˈvɨɪ
вперебежку,f⁽ʲ⁾pʲɪrʲɪˈbʲeʂkʊ
вперебив,f⁽ʲ⁾pʲɪrʲɪˈbʲif
вперебивку,f⁽ʲ⁾pʲɪrʲɪˈbʲifkʊ
вперебой,f⁽ʲ⁾pʲɪrʲɪˈboɪ̯
вперевал,f⁽ʲ⁾pʲɪrʲɪˈvaɫ
вперевалку,f⁽ʲ⁾pʲɪrʲɪˈvaɫkʊ
вперевалочку,f⁽ʲ⁾pʲɪrʲɪˈvaɫət͡ɕkʊ
впереверт,f⁽ʲ⁾pʲɪrʲɪˈvʲɵrt
вперевертку,f⁽ʲ⁾pʲɪrʲɪˈvʲɵrtkʊ
впереворот,f⁽ʲ⁾pʲɪrʲɪvɐˈrot
вперевёрт,f⁽ʲ⁾pʲɪrʲɪˈvʲɵrt
вперевёртку,f⁽ʲ⁾pʲɪrʲɪˈvʲɵrtkʊ
вперегиб,f⁽ʲ⁾pʲɪrʲɪˈɡʲip
вперегонки,f⁽ʲ⁾pʲɪrʲɪɡɐnˈkʲi
вперегонку,f⁽ʲ⁾pʲɪrʲɪˈɡonkʊ
вперед,f⁽ʲ⁾pʲɪˈrʲɵt
впереди,f⁽ʲ⁾pʲɪrʲɪˈdʲi
впередиидущий,f⁽ʲ⁾pʲɪrʲɪˌdʲiɪˈduɕːɪɪ̯
впередсмотрящий,f⁽ʲ⁾pʲɪˌrʲɵt͡smɐˈtrʲæɕːɪɪ̯
вперекат,f⁽ʲ⁾pʲɪrʲɪˈkat
вперекор,f⁽ʲ⁾pʲɪrʲɪˈkor
вперекос,f⁽ʲ⁾pʲɪrʲɪˈkos
вперекрест,f⁽ʲ⁾pʲɪrʲɪˈkrʲest
вперемежку,f⁽ʲ⁾pʲɪrʲɪˈmʲeʂkʊ
вперемешку,f⁽ʲ⁾pʲɪrʲɪˈmʲeʂkʊ
вперепляс,f⁽ʲ⁾pʲɪrʲɪˈplʲas
вперерез,f⁽ʲ⁾pʲɪrʲɪˈrʲes
вперерыв,f⁽ʲ⁾pʲɪrʲɪˈrɨf
впереть,f⁽ʲ⁾pʲɪˈrʲetʲ
впереться,f⁽ʲ⁾pʲɪˈrʲet͡sːə
вперехват,f⁽ʲ⁾pʲɪrʲɪˈxvat
вперить,f⁽ʲ⁾pʲɪˈrʲitʲ
впериться,f⁽ʲ⁾pʲɪˈrʲit͡sːə
вперять,f⁽ʲ⁾pʲɪˈrʲætʲ
вперяться,f⁽ʲ⁾pʲɪˈrʲat͡sːə
вперёд,f⁽ʲ⁾pʲɪˈrʲɵt
вперёдсмотрящий,f⁽ʲ⁾pʲɪˌrʲɵt͡smɐˈtrʲæɕːɪɪ̯
вперённый,f⁽ʲ⁾pʲɪˈrʲɵnːɨɪ̯
впетость,ˈf⁽ʲ⁾pʲetəsʲtʲ
впечатанный,f⁽ʲ⁾pʲɪˈt͡ɕatən(ː)ɨɪ̯
впечатать,f⁽ʲ⁾pʲɪˈt͡ɕatətʲ
впечататься,f⁽ʲ⁾pʲɪˈt͡ɕatət͡sə
впечатлеваться,f⁽ʲ⁾pʲɪt͡ɕɪtlʲɪˈvat͡sːə
впечатление,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲenʲɪɪ̯ə
впечатленьице,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲenʲɪ̯ɪt͡sə
впечатлеть,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲetʲ
впечатлеться,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲet͡sːə
впечатлительность,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲitʲɪlʲnəsʲtʲ
впечатлительный,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲitʲɪlʲnɨɪ̯
впечатлить,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲitʲ
впечатляемость,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲæ(ɪ̯)ɪməsʲtʲ
впечатлять,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲætʲ
впечатляюще,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲæɪ̯ʊɕːɪ
впечатляющий,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲæɪ̯ʊɕːɪɪ̯
впечатлённый,f⁽ʲ⁾pʲɪt͡ɕɪˈtlʲɵnːɨɪ̯
впечатывание,f⁽ʲ⁾pʲɪˈt͡ɕatɨvənʲɪɪ̯ə
впечатывать,f⁽ʲ⁾pʲɪˈt͡ɕatɨvətʲ
впечатываться,f⁽ʲ⁾pʲɪˈt͡ɕatɨvət͡sə
впечь,f⁽ʲ⁾pʲet͡ɕ
впивать,f⁽ʲ⁾pʲɪˈvatʲ
впиваться,f⁽ʲ⁾pʲɪˈvat͡sːə
впилиться,f⁽ʲ⁾pʲɪˈlʲit͡sːə
впиндюривать,f⁽ʲ⁾pʲɪnʲˈdʲʉrʲɪvətʲ
впирать,f⁽ʲ⁾pʲɪˈratʲ
впираться,f⁽ʲ⁾pʲɪˈrat͡sːə
вписанность,ˈf⁽ʲ⁾pʲisən(ː)əsʲtʲ
вписанный,ˈf⁽ʲ⁾pʲisən(ː)ɨɪ̯
вписать,f⁽ʲ⁾pʲɪˈsatʲ
вписаться,f⁽ʲ⁾pʲɪˈsat͡sːə
вписка,ˈf⁽ʲ⁾pʲiskə
вписывание,ˈf⁽ʲ⁾pʲisɨvənʲɪɪ̯ə
вписывать,ˈf⁽ʲ⁾pʲisɨvətʲ
вписываться,ˈf⁽ʲ⁾pʲisɨvət͡sə
впитанный,ˈf⁽ʲ⁾pʲitən(ː)ɨɪ̯
впитать,f⁽ʲ⁾pʲɪˈtatʲ
впитаться,f⁽ʲ⁾pʲɪˈtat͡sːə
впитывание,ˈf⁽ʲ⁾pʲitɨvənʲɪɪ̯ə
впитывать,ˈf⁽ʲ⁾pʲitɨvətʲ
впитываться,ˈf⁽ʲ⁾pʲitɨvət͡sə
впить,f⁽ʲ⁾pʲitʲ
впиться,ˈf⁽ʲ⁾pʲit͡sːə
впиханный,ˈf⁽ʲ⁾pʲixən(ː)ɨɪ̯
впихать,f⁽ʲ⁾pʲɪˈxatʲ
впихаться,f⁽ʲ⁾pʲɪˈxat͡sːə
впихивание,ˈf⁽ʲ⁾pʲixʲɪvənʲɪɪ̯ə
впихивать,ˈf⁽ʲ⁾pʲixʲɪvətʲ
впихиваться,ˈf⁽ʲ⁾pʲixʲɪvət͡sə
впихнутый,ˈf⁽ʲ⁾pʲixnʊtɨɪ̯
впихнуть,f⁽ʲ⁾pʲɪˈxnutʲ
впихнуться,f⁽ʲ⁾pʲɪˈxnut͡sːə
вплавить,ˈfpɫavʲɪtʲ
вплавиться,ˈfpɫavʲɪt͡sə
вплавленный,ˈfpɫavlʲɪn(ː)ɨɪ̯
вплавлять,fpɫɐˈvlʲætʲ
вплавляться,fpɫɐˈvlʲat͡sːə
вплавь,fpɫafʲ
вплеснуть,fplʲɪˈsnutʲ
вплеснуться,fplʲɪˈsnut͡sːə
вплести,fplʲɪˈsʲtʲi
вплестись,fplʲɪˈsʲtʲisʲ
вплетание,fplʲɪˈtanʲɪɪ̯ə
вплетать,fplʲɪˈtatʲ
вплетаться,fplʲɪˈtat͡sːə
вплетение,fplʲɪˈtʲenʲɪɪ̯ə
вплетённый,fplʲɪˈtʲɵnːɨɪ̯
вплотную,fpɫɐtˈnuɪ̯ʊ
вплоть,fpɫotʲ
вплоть,fpɫotʲ
вплывание,fpɫɨˈvanʲɪɪ̯ə
вплывать,fpɫɨˈvatʲ
вплытие,ˈfpɫɨtʲɪɪ̯ə
вплыть,fpɫɨtʲ
вплёскивать,ˈfplʲɵskʲɪvətʲ
вплёскиваться,ˈfplʲɵskʲɪvət͡sə
вплёснутый,ˈfplʲɵsnʊtɨɪ̯
вплётший,ˈfplʲɵt͡ʂʂɨɪ̯
вплётшийся,ˈfplʲɵt͡ʂʂɨɪ̯sʲə
вповалку,fpɐˈvaɫkʊ
впокат,fpɐˈkat
вполглаза,ˌfpoɫˈɡɫazə
вполголоса,ˌfpoɫˈɡoɫəsə
вполдерева,fpoɫˈdʲerʲɪvə
вползание,fpɐɫˈzanʲɪɪ̯ə
вползать,fpɐɫˈzatʲ
вползти,fpɐɫˈs⁽ʲ⁾tʲi
вползший,ˈfpoɫʂɨɪ̯
вполнакала,ˌfpoɫnɐˈkaɫə
вполне,fpɐɫˈnʲe
вполнеба,ˌfpoɫˈnʲebə
вполноги,ˌfpoɫnɐˈɡʲi
вполоборота,ˌfpoɫəbɐˈrotə
вполовину,fpəɫɐˈvʲinʊ
вполоткрыта,ˌfpoɫɐtˈkrɨtə
вполпьяна,ˌfpoɫpʲɪ̯ɪˈna
вполруки,ˌfpoɫrʊˈkʲi
вполсилы,ˌfpoɫˈsʲiɫɨ
вполслуха,ˌfpoɫˈsɫuxə
вполсыта,ˌfpoɫsɨˈta
вполуоборот,ˌfpoɫʊəbɐˈrot
вполуха,ˌfpoˈɫuxə
вполцены,ˌfpoɫt͡sɨˈnɨ
вполшага,ˌfpoɫʂɐˈɡa
впопад,fpɐˈpat
впопыхах,fpəpɨˈxax
впору,ˈfporʊ
впорхнуть,fpɐrˈxnutʲ
впоследствии,fpɐˈslʲet͡stvʲɪɪ
впотьмах,fpɐtʲˈmax
вправду,ˈfpravdʊ
вправе,ˈfpravʲɪ
вправить,ˈfpravʲɪtʲ
вправить,ˈfpravʲɪtʲ
вправиться,ˈfpravʲɪt͡sə
вправка,ˈfprafkə
вправление,fprɐˈvlʲenʲɪɪ̯ə
вправленный,ˈfpravlʲɪn(ː)ɨɪ̯
вправлять,fprɐˈvlʲætʲ
вправляться,fprɐˈvlʲat͡sːə
вправо,ˈfpravə
впредь,fprʲetʲ
впрессованный,fprʲɪˈsovən(ː)ɨɪ̯
впрессовать,fprʲɪsɐˈvatʲ
впрессовывание,fprʲɪˈsovɨvənʲɪɪ̯ə
впрессовывать,fprʲɪˈsovɨvətʲ
впрессовываться,fprʲɪˈsovɨvət͡sə
вприглядку,fprʲɪˈɡlʲatkʊ
вприкуску,fprʲɪˈkuskʊ
вприпрыжечку,fprʲɪˈprɨʐɨt͡ɕkʊ
вприпрыжку,fprʲɪˈprɨʂkʊ
вприскок,fprʲɪˈskok
вприскочку,fprʲɪˈskot͡ɕkʊ
вприсядку,fprʲɪˈsʲatkʊ
впритирку,fprʲɪˈtʲirkʊ
впритруску,fprʲɪˈtruskʊ
впритык,fprʲɪˈtɨk
вприщур,fprʲɪˈɕːur
вприщурку,fprʲɪˈɕːurkʊ
впроброс,fprɐˈbros
впроводку,fprɐˈvotkʊ
впроголодь,ˈfproɡəɫətʲ
впрожелть,ˈfproʐɨɫtʲ
впрозелень,ˈfprozʲɪlʲɪnʲ
впрок,fprok
впросак,fprɐˈsak
впросинь,ˈfprosʲɪnʲ
впросонках,fprɐˈsonkəx
впросонье,fprɐˈsonʲɪ̯ə
впрохолодь,ˈfproxəɫətʲ
впрочем,ˈfprot͡ɕɪm
впрочернь,ˈfprot͡ɕɪrnʲ
впрыгивание,ˈfprɨɡʲɪvənʲɪɪ̯ə
впрыгивать,ˈfprɨɡʲɪvətʲ
впрыгнуть,ˈfprɨɡnʊtʲ
впрыск,fprɨsk
впрыскивание,ˈfprɨskʲɪvənʲɪɪ̯ə
впрыскивать,ˈfprɨskʲɪvətʲ
впрыскиваться,ˈfprɨskʲɪvət͡sə
впрыснутый,ˈfprɨsnʊtɨɪ̯
впрыснуть,ˈfprɨsnʊtʲ
впрягание,fprʲɪˈɡanʲɪɪ̯ə
впрягать,fprʲɪˈɡatʲ
впрягаться,fprʲɪˈɡat͡sːə
впрягший,ˈfprʲakʂɨɪ̯
впрягшийся,ˈfprʲakʂɨɪ̯sʲə
впрядать,fprʲɪˈdatʲ
впрядаться,fprʲɪˈdat͡sːə
